Job Title,Job Salary,Job Experience Required,Skills,Role,Location
Business Development Manager," 2,00,000 - 4,25,000 PA. ",5,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Accounts & Finance Manager," 8,00,000 - 15,00,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Mumbai
Manager," 8,00,000 - 11,00,000 PA. ",4,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Business Development Manager,Mumbai
Regional Manager," 13,00,000 - 18,00,000 PA. ",6,"Territory Management, Sales Targets, Team Supervision, Strategy Execution",Regional Manager,Mumbai
Dot Net Developer," 3,00,000 - 5,50,000 PA. ",3,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Noida
Manager," 6,50,000 - 11,00,000 PA. ",6,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Recruitment Manager,Mumbai
Graphic Designer," 2,25,000 - 2,75,000 PA. ",1,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Textile Designer,Mumbai
Marketing Executive," 3,00,000 - 3,50,000 PA. ",3,"Digital Marketing, SEO, Content Creation, Campaign Management",Client Servicing Executive,Faridabad
Restaurant Manager," 1,50,000 - 3,50,000 PA. ",0,"Hospitality Management, Staff Supervision, Inventory, Customer Service",Manager,Pune
PHP Developer," 2,00,000 - 4,00,000 PA. ",2,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Hyderabad
Business Development Executive," 3,00,000 - 4,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Direct Marketing Executive,Chandigarh
Finance & Accounts Officer," 3,00,000 - 5,00,000 PA. ",0,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Finance,Mumbai
Sales Executive," 1,00,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales,Delhi
Angular Developer," 3,00,000 - 8,00,000 PA. ",2,"Angular, TypeScript, HTML, CSS, REST APIs, JavaScript",Software Developer,Hyderabad
Executive," 2,50,000 - 3,50,000 PA. ",3,"Communication, Coordination, Data Entry, Reporting, Office Administration",Executive / Sr Executive - Administration,Noida
Business Development," 5,00,000 - 10,00,000 PA. ",5,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Hyderabad
Branch Accountant," 1,75,000 - 4,00,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Mumbai
Technical Support," 3,75,000 - 6,00,000 PA. ",1,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(Technical),Mumbai
Sr Java Developer," 2,00,000 - 4,75,000 PA. ",5,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Mumbai
Area Sales Manager," 5,00,000 - 6,50,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
Dot Net Developer," 1,00,000 - 4,50,000 PA. ",2,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Gurgaon
Assistant Sales Manager," 2,75,000 - 3,50,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Mumbai
Sales Executive," 1,00,000 - 3,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Hyderabad
Content Writer," 2,00,000 - 5,00,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Content Developer,Delhi
Business Development Associate," 90,000 - 2,25,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Bengaluru
Sales Executive," 2,00,000 - 4,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Visakhapatnam
VP," 20,00,000 - 35,00,000 PA. ",10,"Executive Leadership, Business Strategy, Stakeholder Management, Financial Oversight",VP / National Manager After Sales,Delhi
Business Development Officer," 2,00,000 - 3,25,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Deputy Manager," 7,00,000 - 9,00,000 PA. ",7,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Engineering Manager,Hyderabad
UI UX Designer," 3,50,000 - 5,00,000 PA. ",1,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",User Experience Designer,Delhi
Manager Sales & Marketing," 3,00,000 - 7,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Senior Manager," 10,00,000 - 12,00,000 PA. ",5,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",HR Manager,Pune
Process Trainer," 3,00,000 - 3,25,000 PA. ",2,"Training Delivery, SOP Development, Process Improvement, Coaching",Process Trainer,Hyderabad
Area Sales Manager," 2,00,000 - 4,25,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Chandigarh
Manager," 12,00,000 - 22,00,000 PA. ",8,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Finance / Budgeting Manager,Pune
HR Recruiter," 2,00,000 - 2,50,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Bengaluru
VP," 10,00,000 - 15,00,000 PA. ",10,"Executive Leadership, Business Strategy, Stakeholder Management, Financial Oversight",VP,Gurgaon
Mobility Developer," 5,00,000 - 15,00,000 PA. ",4,"Networking, System Administration, Security, Technical Support, Cloud Computing",Software Developer,Bengaluru
.NET Developer," 4,00,000 - 9,00,000 PA. ",4,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Bengaluru
Assistant General Manager," 15,00,000 - 30,00,000 PA. ",13,"Leadership, Operations Management, Strategy, Budgeting",Program Manager,Mumbai
Engineer," 2,50,000 - 3,00,000 PA. ",3,"Technical Knowledge, Problem Solving, Engineering Design, Reporting",Industrial Engineer,Pune
Senior Accounts Executive," 2,50,000 - 4,50,000 PA. ",4,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Mumbai
Executive Sales & Marketing," 2,25,000 - 5,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Delhi
Team Leader Sales," 1,50,000 - 2,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Agra
Manager," 7,00,000 - 12,00,000 PA. ",5,"Leadership, Strategic Planning, Team Management, Reporting, Performance Monitoring",Legal Manager,Mumbai
Digital Marketing Manager," 4,75,000 - 7,00,000 PA. ",4,"Digital Marketing, SEO, Content Creation, Campaign Management",Marketing Manager,Delhi
Hardware Design Engineer," 4,25,000 - 9,25,000 PA. ",2,"Circuit Design, PCB Layout, Embedded Systems, CAD Tools",Hardware Design Engineer,Delhi
Full Stack Developer," 2,50,000 - 3,50,000 PA. ",1,"Frontend Development, Backend Development, JavaScript, Node.js, React, MongoDB",Software Developer,Pune
Business Development Executive," 1,75,000 - 2,50,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Hyderabad
Job Description," INR 9,00,000 - 19,00,000 PA.",8,"Job Analysis, Requirement Gathering, Recruitment Coordination",Sales / Business Development Manager,Delhi
Asst. Manager," 3,00,000 - 6,00,000 PA. ",1,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Delhi
Sales Executive," 2,25,000 - 2,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales,Mumbai
.NET Developer," 4,00,000 - 8,00,000 PA. ",2,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Chandigarh
HR Manager," 3,50,000 - 4,50,000 PA. ",3,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Mumbai
.Net Developer," INR 4,00,000 - 9,00,000 PA.",4,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Hyderabad
Software Engineer," 8,00,000 - 18,00,000 PA. ",4,"Programming, Software Development, Debugging, SDLC",Software Developer,Chennai
Cyber Security Analyst," 4,00,000 - 7,00,000 PA. ",4,"Networking, System Administration, Security, Technical Support, Cloud Computing",System Security,Chennai
Graphic Designer," 1,50,000 - 2,50,000 PA. ",2,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic / Web Designer,Mumbai
Assistant Manager HR," 10,00,000 - 12,00,000 PA. ",8,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Manager,Gurgaon
Branch Manager," 7,50,000 - 12,00,000 PA. ",4,"Branch Operations, Sales, Team Leadership, Compliance, Customer Relations",Territory Manager,Mumbai
Hub Manager," 4,50,000 - 6,00,000 PA. ",4,"Logistics Management, Hub Operations, Team Supervision",Logistics Manager,Ahmedabad
Data Entry Operator," 1,00,000 - 2,00,000 PA. ",0,"Typing, MS Excel, Data Accuracy, Documentation, Record Keeping",Data Entry Operator,Mumbai
Recruitment Executive," 2,00,000 - 4,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Gurgaon
Accounts Manager," 3,50,000 - 4,00,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Delhi
Test Engineer," 2,00,000 - 3,50,000 PA. ",2,"Manual Testing, Automation Testing, Selenium, Test Cases, Defect Reporting",Testing Engineer,Kolkata
Executive," 3,50,000 - 4,50,000 PA. ",3,"Communication, Coordination, Data Entry, Reporting, Office Administration",Executive / Sr Executive - Administration,Bengaluru
Marketing & Sales Executive," 4,00,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales,Chennai
HR Executive," 1,50,000 - 3,50,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Bengaluru
Andriod Developer," 4,00,000 - 9,00,000 PA. ",3,"Java, Kotlin, Android SDK, Firebase, Mobile UI Design",Software Developer,Chandigarh
Regional Sales Manager," 1,00,000 - 6,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Delhi
HR Executive Fresher," 1,50,000 - 1,75,000 PA. ",0,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Bengaluru
Sales Officer," 2,00,000 - 4,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales,Ahmedabad
Business Development Officer," 3,00,000 - 6,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive / Officer,Delhi
IT Project Manager," 17,00,000 - 32,00,000 PA. ",8,"Networking, System Administration, Security, Technical Support, Cloud Computing",Project Manager-IT,Hyderabad
Regional Manager," 7,00,000 - 15,00,000 PA. ",8,"Territory Management, Sales Targets, Team Supervision, Strategy Execution",Regional Manager,Noida
Android Developer," 6,00,000 - 15,00,000 PA. ",2,"Android SDK, Java, Kotlin, Mobile App Development, Firebase",Software Developer,Noida
Medical Coding Freshers Jobs," 2,50,000 - 4,00,000 PA. ",0,"ICD-10, CPT Coding, Healthcare Terminology, Medical Billing",Medical Officer,Chennai
Area Sales Manager," 7,00,000 - 10,00,000 PA. ",6,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
Sales Manager," 7,00,000 - 9,50,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Pune
IT Recruiter," 2,00,000 - 3,00,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Bengaluru
Python Developer," 50,000 - 3,00,000 PA. ",1,"Python, Django, Flask, REST APIs, Pandas, SQL",Software Developer,Gurgaon
Area Sales Executive," 10,00,000 - 11,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Kolkata
Business Development Executive," 1,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Head," 15,00,000 - 20,00,000 PA. ",12,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head,Bengaluru
Asst. Manager," 3,00,000 - 6,00,000 PA. ",1,"Team Coordination, Process Management, Reporting, Operations Support",Sales / Business Development Manager,Delhi
Digital Marketing Executive," 2,50,000 - 6,50,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Promotion Executive,Mumbai
Senior Sales Manager," 4,50,000 - 7,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Territory Manager,Noida
Job Opportunity," 2,50,000 - 3,00,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Purchase Executive,Delhi
Business Development Manager," 3,00,000 - 6,00,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales / BD Manager,Pune
Software Developer," 3,00,000 - 6,00,000 PA. ",4,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Gurgaon
Business Development Executive," 1,25,000 - 3,75,000 PA. ",1,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Hyderabad
Accounts & Finance Manager," INR 10,00,000 - 18,00,000 PA.",8,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Hyderabad
Team Leader," 4,50,000 - 6,50,000 PA. ",5,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader -(NonTechnical),Mumbai
Tele Sales Executive," 1,50,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Telesales / Telemarketing Executive,Bengaluru
Asp.net Developer," 1,00,000 - 2,00,000 PA. ",0,"ASP.NET, C#, SQL Server, Web Development, MVC",Software Developer,Mumbai
Sales Manager," 4,50,000 - 7,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Area Sales Manager,Mumbai
IT Recruiter," 2,00,000 - 4,00,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Bengaluru
Marketing Manager," 5,00,000 - 10,00,000 PA. ",4,"Digital Marketing, SEO, Content Creation, Campaign Management",Brand Manager,Mumbai
Marketing Executive," 2,00,000 - 4,00,000 PA. ",2,"Digital Marketing, SEO, Content Creation, Campaign Management",Sales Executive,Bengaluru
Marketing & Sales Executive," 4,00,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales,Pune
Urgently Required Medical Officer," 3,00,000 - 4,00,000 PA. ",0,"Patient Examination, Diagnosis, Treatment, Emergency Care",Medical Officer,Bengaluru
Automation Engineer," 1,50,000 - 3,00,000 PA. ",1,"Automation Systems, PLC Programming, SCADA, Troubleshooting",Design Engineer,Gurgaon
Junior Accountant," 2,75,000 - 3,00,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Bengaluru
Technical Support," 2,00,000 - 3,50,000 PA. ",1,"Troubleshooting, Customer Service, Hardware Support, Software Support",Senior Associate -(NonTechnical),Ahmedabad
Relationship Manager," 4,00,000 - 6,50,000 PA. ",2,"Client Relationship, Cross-Selling, Financial Advisory, Customer Retention, Sales",Business Development Manager-Broking,Mumbai
HR Executive," 2,50,000 - 3,50,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Delhi
IT Sales Executive," 3,00,000 - 7,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Noida
Unit Sales Manager," 2,50,000 - 6,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Hyderabad
Dot Net Developer," 3,00,000 - 8,00,000 PA. ",2,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Chennai
Graphic Designer," 1,00,000 - 2,50,000 PA. ",0,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Pune
Recruitment Executive," 3,00,000 - 4,50,000 PA. ",2,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Delhi
Sales Manager," 4,00,000 - 8,00,000 PA. ",5,"Communication, CRM, Negotiation, Lead Generation",Sales / BD Manager,Ahmedabad
Software Developer," 3,00,000 - 6,00,000 PA. ",2,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Gurgaon
Business Development Manager," 30,00,000 - 37,50,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Bengaluru
Angular Developer," 5,00,000 - 15,00,000 PA. ",5,"Angular, TypeScript, HTML, CSS, REST APIs, JavaScript",Software Developer,Hyderabad
HR Executive," 1,50,000 - 2,50,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Delhi
Team Leader," 4,00,000 - 9,00,000 PA. ",2,"Team Management, Target Achievement, Coaching, Reporting, Communication",Team Leader -(Technical),Mumbai
Sales Representative," 1,50,000 - 2,75,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
HR Executive," 3,75,000 - 6,00,000 PA. ",2,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Mumbai
PHP Developer," 3,00,000 - 8,00,000 PA. ",3,"PHP, MySQL, JavaScript, HTML, Laravel, Web Development",Software Developer,Noida
Sales Executive," 1,25,000 - 6,25,000 PA. ",7,"Communication, CRM, Negotiation, Lead Generation",Sales,Kolkata
Sales Executive," 3,00,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Accounts Executive," 1,25,000 - 2,25,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Bengaluru
HR Recruiter," 1,50,000 - 2,50,000 PA. ",0,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Bengaluru
Sales Manager," 3,00,000 - 6,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Sr. Manager," 15,00,000 - 22,50,000 PA. ",3,"Strategic Planning, Team Management, Project Oversight, Budgeting, KPI Monitoring",Training Manager,Mumbai
Senior Manager," 4,50,000 - 7,50,000 PA. ",2,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Logistics Manager,Delhi
Restaurant Manager," 1,50,000 - 1,75,000 PA. ",1,"Hospitality Management, Staff Supervision, Inventory, Customer Service",Restaurant Manager,Kolkata
Business Development Executive," 1,75,000 - 2,75,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Bengaluru
HR Head," 15,00,000 - 20,00,000 PA. ",15,"Recruitment, Payroll, Employee Engagement, HR Policies",Head / GM-HR,Bengaluru
Accounts & Finance Manager," 8,00,000 - 9,00,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Manager,Delhi
Customer Support Associate," 2,25,000 - 4,50,000 PA. ",0,"Customer Interaction, Problem Solving, Communication Skills, CRM Tools, Ticketing Systems",Associate / Senior Associate -(NonTechnical),Bengaluru
Accounts & Finance Executive," 2,00,000 - 3,00,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Mumbai
.Net Developer," 1,75,000 - 2,75,000 PA. ",1,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Chennai
Java Developer," 1,50,000 - 4,50,000 PA. ",1,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Delhi
Customer Care Executive," 1,75,000 - 3,50,000 PA. ",0,"Customer Service, CRM Tools, Problem Solving, Communication, Ticketing Systems",Telecalling / Telemarketing Executive,Delhi
Senior Manager," 10,00,000 - 20,00,000 PA. ",6,"Strategic Leadership, Budgeting, Team Management, Performance Analysis, Stakeholder Management",Legal Manager,Mumbai
Sales Executive," 2,00,000 - 2,25,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Kolkata
Zonal Sales Manager," 6,00,000 - 10,00,000 PA. ",10,"Communication, CRM, Negotiation, Lead Generation",Regional Manager,Delhi
Receptionist," 2,00,000 - 3,00,000 PA. ",3,"Front Desk Management, Communication, Scheduling, Visitor Handling, MS Office",Receptionist,Ahmedabad
Business Development Executive," 3,00,000 - 6,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Noida
Pre Sales Executive," 1,50,000 - 2,50,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Pune
Deputy Manager," 10,00,000 - 12,00,000 PA. ",7,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",Logistics Manager,Mumbai
Graphic Designer," 2,00,000 - 3,00,000 PA. ",2,"Adobe Photoshop, Illustrator, CorelDRAW, Creativity, Typography, Branding",Graphic Designer,Gurgaon
Software Developer," 4,00,000 - 9,00,000 PA. ",3,"Software Design, Programming, Debugging, SDLC, Version Control",Software Developer,Bengaluru
Administration Assistant," 80,000 - 1,50,000 PA. ",0,"Clerical Support, Filing, Scheduling, Office Coordination",Sr Executive - Administration,Mumbai
Accounts Executive," 2,00,000 - 2,50,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Delhi
Digital Marketing Manager," 2,75,000 - 4,50,000 PA. ",4,"Digital Marketing, SEO, Content Creation, Campaign Management",Key Account Manager,Kolkata
Business Development Manager," 16,00,000 - 19,00,000 PA. ",2,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Mumbai
Cyber Security Analyst," 6,00,000 - 14,00,000 PA. ",3,"Networking, System Administration, Security, Technical Support, Cloud Computing",System Security,Chennai
Hiring For Recruitment Executive," 50,000 - 2,50,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",HR Executive,Delhi
Data Analyst," 50,000 - 3,00,000 PA. ",0,"Data Analysis, Excel, SQL, Python, Visualization",Data Analyst,Mumbai
Manager Accounts," 3,00,000 - 4,00,000 PA. ",3,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Ghaziabad
IOS Developer," 2,75,000 - 7,50,000 PA. ",3,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Hyderabad
.Net Developer," 2,50,000 - 5,00,000 PA. ",2,"ASP.NET, C#, SQL Server, MVC, Web API, Visual Studio",Software Developer,Noida
Recruitment Specialist," 1,50,000 - 2,25,000 PA. ",0,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Noida
Customer Support Associate," 1,75,000 - 2,25,000 PA. ",0,"Customer Interaction, Problem Solving, Communication Skills, CRM Tools, Ticketing Systems",Associate / Senior Associate -(NonTechnical),Noida
Accountant," 2,25,000 - 2,50,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accountant,Mumbai
Tele Marketing Executive," 1,00,000 - 1,25,000 PA. ",0,"Digital Marketing, SEO, Content Creation, Campaign Management",Telecalling / Telemarketing Executive,Hyderabad
Sales Manager," 2,00,000 - 6,00,000 PA. ",3,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Delhi
Sr Executive," 3,00,000 - 6,50,000 PA. ",3,"Team Support, Reporting, Client Handling, Communication, Coordination",Associate Marketing Manager,Delhi
Accounts Executive," 1,50,000 - 2,00,000 PA. ",1,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",Accounts Executive,Delhi
Java Developer," 4,50,000 - 4,75,000 PA. ",2,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Delhi
Project Manager," 13,00,000 - 17,00,000 PA. ",12,"Project Planning, Risk Management, Stakeholder Communication, Agile, Budgeting",Product Development Manager,Pune
Team Leader Operations," 4,50,000 - 9,00,000 PA. ",4,"Operations Oversight, Team Supervision, SLA Management",Team Leader -(NonTechnical),Noida
Design Engineer," 3,00,000 - 8,00,000 PA. ",2,"AutoCAD, SolidWorks, Product Design, Mechanical Design, GD&T, 3D Modeling",Design Engineer,Mumbai
Assistant General Manager Finance & Accounts," 15,00,000 - 18,00,000 PA. ",10,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",GM-Accounts,Kolkata
Head," 20,00,000 - 30,00,000 PA. ",7,"Strategic Planning, Team Leadership, Budgeting, Operations, Stakeholder Management",Head / GM-Marketing,Bengaluru
Software Engineer," 20,00,000 - 30,00,000 PA. ",6,"Programming, Software Development, Debugging, SDLC",Software Developer,Noida
Java Developer," 7,50,000 - 12,00,000 PA. ",4,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Mumbai
IT Recruiter," 1,00,000 - 5,00,000 PA. ",1,"Networking, System Administration, Security, Technical Support, Cloud Computing",Recruitment Executive,Bengaluru
Hindi Call Center ( CCE ) Bpo ," 1,25,000 - 3,75,000 PA. ",0,"Customer Handling, Inbound Calls, Outbound Calls, Communication Skills",Telecalling,Mumbai
Unit Sales Manager," 2,50,000 - 4,75,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Mumbai
Business Development Executive," 2,00,000 - 2,25,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Sales Executive,Mumbai
Assistant Restaurant Manager," 3,00,000 - 4,00,000 PA. ",2,"Team Management, Customer Service, Inventory Control, Staff Training, Food Safety",Restaurant Manager,Mumbai
Sales Head," 6,00,000 - 8,50,000 PA. ",4,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Gurgaon
UI UX Designer," 6,00,000 - 10,00,000 PA. ",1,"Figma, Adobe XD, Wireframing, Prototyping, Interaction Design",User Experience Designer,Delhi
Restaurant Manager," 2,00,000 - 3,50,000 PA. ",4,"Hospitality Management, Staff Supervision, Inventory, Customer Service",Restaurant Manager,Delhi
IOS Developer," 3,00,000 - 6,00,000 PA. ",2,"Swift, Xcode, iOS SDK, UIKit, Cocoa Touch, Mobile App Development",Software Developer,Gurgaon
Sales & Marketing Officer," 2,00,000 - 4,00,000 PA. ",2,"Communication, CRM, Negotiation, Lead Generation",Sales Executive / Officer,Delhi
Java Developer," 5,00,000 - 12,00,000 PA. ",4,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Hyderabad
Deputy Manager," 10,00,000 - 12,00,000 PA. ",5,"Team Management, Strategic Planning, Performance Monitoring, Reporting, Process Improvement",HR Manager,Chandigarh
Java Developer," 2,75,000 - 7,75,000 PA. ",2,"Java, Spring, Hibernate, REST APIs, SQL",Software Developer,Bengaluru
Python Developer," 3,50,000 - 5,50,000 PA. ",2,"Python, Django, Flask, REST APIs, Pandas, SQL",Software Developer,Noida
Direct Sales," 3,00,000 - 4,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Nagpur
HR Executive," 1,00,000 - 2,50,000 PA. ",1,"Recruitment, Payroll, Employee Engagement, HR Policies",HR Executive,Mumbai
Wealth Manager," 6,00,000 - 16,00,000 PA. ",7,"Investment Advisory, Portfolio Management, Financial Planning, Client Relationship",Business Development Manager,Delhi
Key Account Manager," 3,00,000 - 8,00,000 PA. ",2,"Financial Reporting, Tally, Taxation, Auditing, Budgeting",BD Manager,Hyderabad
Sales Executive," 2,00,000 - 5,00,000 PA. ",0,"Communication, CRM, Negotiation, Lead Generation",Sales Executive,Bengaluru
Business Development Manager," 4,00,000 - 5,00,000 PA. ",3,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Business Development Manager,Delhi
Business Development Executive," 2,00,000 - 3,00,000 PA. ",0,"Lead Generation, Sales Strategy, Market Research, Client Acquisition",Cards-Sales Officer / Executive,Kolkata
Agency Development Manager," 2,00,000 - 3,50,000 PA. ",2,"Agency Recruitment, Team Building, Insurance Sales, Performance Monitoring",Sales / Business Development Manager,Mumbai
Inside Sales Executive," 1,75,000 - 4,00,000 PA. ",1,"Communication, CRM, Negotiation, Lead Generation",Sales / Business Development Manager,Bengaluru
Project Manager," 4,00,000 - 8,00,000 PA. ",4,"Project Planning, Risk Management, Stakeholder Communication, Agile, Budgeting",Project Lead,Ahmedabad
